run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,dead_units
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,0,0.00022806522978093823,0.00022806522978093823,0.0,14.73861740218462,103.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,5000,0.0005247528804702029,0.00022806522978093823,0.00029668765068926464,58.53646884760092,304.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,10000,0.00012791842624721995,0.00022806522978093823,-0.00010014680353371828,77.28929743773975,333.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,15000,0.00010187519712161475,0.00022806522978093823,-0.00012619003265932347,98.15094942566115,359.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,20000,2.4639308264795545e-05,0.00022806522978093823,-0.0002034259215161427,114.79386302594341,378.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,25000,0.0004667055905883899,0.00022806522978093823,0.00023864036080745168,129.6475029942152,394.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,30000,0.0006367104507262411,0.00022806522978093823,0.00040864522094530287,142.5643223853409,401.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,35000,0.003874321313924156,0.00022806522978093823,0.003646256084143218,153.73988839913625,406.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,40000,0.006269710988271981,0.00022806522978093823,0.0060416457584910425,163.54738916139698,418.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,45000,0.008045556815341115,0.00022806522978093823,0.007817491585560176,172.73815855465847,424.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,50000,0.011785631475504488,0.00022806522978093823,0.01155756624572355,181.28461398724784,427.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,55000,0.022443058574572204,0.00022806522978093823,0.022214993344791267,189.11903274990524,430.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,60000,0.029007167101372033,0.00022806522978093823,0.028779101871591096,196.27026160004922,435.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,65000,0.04232347412034869,0.00022806522978093823,0.04209540889056775,202.93323987610657,437.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,70000,0.04787580403499305,0.00022806522978093823,0.047647738805212114,209.20736335817637,438.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,75000,0.07034257343038916,0.00022806522978093823,0.07011450820060822,215.10726858476391,443.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,80000,0.051072450063657016,0.00022806522978093823,0.05084438483387608,220.8854092782054,447.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,85000,0.03313046184484847,0.00022806522978093823,0.03290239661506753,226.37933925837183,446.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,90000,0.0901674423366785,0.00022806522978093823,0.08993937710689756,231.67975799631512,449.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,95000,0.0798143851920031,0.00022806522978093823,0.07958631996222215,236.7836255864629,448.0
cifar10_easy_cnn_adam_seed0,0,cifar10,easy,cnn,adam,100000,0.10432861372828484,0.00022806522978093823,0.10410054849850389,241.5411696915383,449.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,0,0.00021756118275746418,0.00021756118275746418,0.0,14.733994291145143,94.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,5000,0.00028044825176039013,0.00021756118275746418,6.288706900292595e-05,64.67135357375813,411.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,10000,0.001872415782418102,0.00021756118275746418,0.0016548545996606379,76.71487372311499,452.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,15000,0.009340225299820305,0.00021756118275746418,0.009122664117062841,86.29682241148471,466.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,20000,0.014226950518786908,0.00021756118275746418,0.014009389336029444,92.95606638995989,477.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,25000,0.018099628388881683,0.00021756118275746418,0.01788206720612422,98.64395788632847,492.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,30000,0.024094306956976654,0.00021756118275746418,0.02387674577421919,104.25943127587088,502.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,35000,0.029146319814026357,0.00021756118275746418,0.028928758631268894,109.55763831140065,513.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,40000,0.028226816467940806,0.00021756118275746418,0.028009255285183342,114.731211944809,519.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,45000,0.027517001144587994,0.00021756118275746418,0.02729943996183053,119.93899190311762,524.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,50000,0.02772539686411619,0.00021756118275746418,0.027507835681358728,125.32641625782186,526.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,55000,0.02733437907882035,0.00021756118275746418,0.027116817896062885,130.14319875432153,536.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,60000,0.0417223209515214,0.00021756118275746418,0.04150475976876393,134.96523761970576,536.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,65000,0.03423104705289006,0.00021756118275746418,0.034013485870132594,139.81826598658424,539.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,70000,0.02852209797129035,0.00021756118275746418,0.028304536788532886,145.0082474948608,541.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,75000,0.023867476778104902,0.00021756118275746418,0.02364991559534744,150.14679533341624,542.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,80000,0.03987975731724873,0.00021756118275746418,0.03966219613449126,154.97139535651127,543.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,85000,0.030915200198069214,0.00021756118275746418,0.03069763901531175,159.80037416237823,547.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,90000,0.0628565076738596,0.00021756118275746418,0.06263894649110213,164.4007239749916,550.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,95000,0.06391366627067327,0.00021756118275746418,0.0636961050879158,169.19423436979798,552.0
cifar10_easy_cnn_adam_seed20,20,cifar10,easy,cnn,adam,100000,0.05151814068667591,0.00021756118275746418,0.05130057950391844,173.68439162878204,552.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,0,9.638574537889078e-05,9.638574537889078e-05,0.0,14.736907493043686,106.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,5000,4.030410433486509e-06,9.638574537889078e-05,-9.235533494540426e-05,50.2390399650072,154.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,10000,2.8517100233216297e-05,9.638574537889078e-05,-6.786864514567448e-05,76.99100281627955,152.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,15000,2.0458871659378987e-05,9.638574537889078e-05,-7.592687371951178e-05,92.34504724578132,170.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,20000,0.0001415502769333443,9.638574537889078e-05,4.516453155445353e-05,107.47975861725331,192.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,25000,7.2944450636214245e-06,9.638574537889078e-05,-8.909130031526935e-05,122.00072504840921,209.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,30000,1.2624204623534752e-05,9.638574537889078e-05,-8.376154075535602e-05,134.78327321935996,225.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,35000,6.072690473502007e-06,9.638574537889078e-05,-9.031305490538878e-05,145.7375154937018,241.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,40000,7.880211205701926e-05,9.638574537889078e-05,-1.758363332187152e-05,155.28495749673715,235.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,45000,6.962091274544945e-05,9.638574537889078e-05,-2.6764832633441324e-05,165.0000724671306,247.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,50000,3.096448900805626e-05,9.638574537889078e-05,-6.542125637083452e-05,173.7064517147757,253.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,55000,0.0006377532891747251,9.638574537889078e-05,0.0005413675437958343,181.4739861624672,258.0
cifar10_easy_cnn_adam_seed42,42,cifar10,easy,cnn,adam,60000,2.8100608614067823e-05,9.638574537889078e-05,-6.828513676482295e-05,188.65158199200346,265.0
