run_id,seed,observation_space,environment,architecture,optimizer,step,probe_loss,initial_probe_loss,plasticity_loss,weight_norm,dead_units
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,0,7.091649696160952e-08,7.091649696160952e-08,0.0,14.73861740218462,106.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,5000,2.684348489706844e-05,7.091649696160952e-08,2.6772568400106832e-05,66.24912927171759,199.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,10000,0.0002327443791985486,7.091649696160952e-08,0.00023267346270158698,90.65279704304548,205.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,15000,6.7404837047694035e-06,7.091649696160952e-08,6.669567207807794e-06,111.73546126470708,217.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,20000,4.543596125065191e-06,7.091649696160952e-08,4.472679628103582e-06,128.43759125888442,252.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,25000,4.1440140452486673e-05,7.091649696160952e-08,4.136922395552507e-05,143.21667447116718,265.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,30000,2.1094453536640855e-05,7.091649696160952e-08,2.1023537039679246e-05,153.86272505765447,274.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,35000,0.0024413948380511254,7.091649696160952e-08,0.0024413239215541637,163.20444165698925,286.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,40000,1.842412828167994e-05,7.091649696160952e-08,1.835321178471833e-05,171.1027422198455,306.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,45000,0.00022632049985986668,7.091649696160952e-08,0.00022624958336290506,177.38476704892236,298.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,50000,0.0007044726124149747,7.091649696160952e-08,0.0007044016959180131,183.03235954858886,321.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,55000,4.777605584111722e-05,7.091649696160952e-08,4.770513934415561e-05,188.23616596906697,330.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,60000,0.00013848255215407335,7.091649696160952e-08,0.00013841163565711173,192.8339023808021,334.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,65000,0.003193656498842756,7.091649696160952e-08,0.0031935855823457945,197.19459104370094,335.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,70000,0.0014095298196480145,7.091649696160952e-08,0.0014094589031510528,201.09343123607076,345.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,75000,0.00155886586435372,7.091649696160952e-08,0.0015587949478567584,204.6681996969352,350.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,80000,0.005159841832937673,7.091649696160952e-08,0.005159770916440712,207.89690101723488,354.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,85000,0.006930265901610255,7.091649696160952e-08,0.006930194985113294,211.03855902467328,358.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,90000,0.0012950638873007847,7.091649696160952e-08,0.001294992970803823,214.32171372593245,361.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,95000,0.0006160381952213356,7.091649696160952e-08,0.000615967278724374,217.14028419604585,382.0
cifar10_hard_cnn_adam_seed0,0,cifar10,hard,cnn,adam,100000,0.00033554101346453533,7.091649696160952e-08,0.0003354700969675737,220.26739798609105,381.0
