observation_space,environment,architecture,checkpoint,task_id,step,loss,final_loss
mnist,easy,mlp,step_0,0.0,0.0,0.49883660674095154,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,10.0,0.40537235140800476,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,20.0,0.28240832686424255,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,30.0,0.16543005406856537,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,40.0,0.0833171010017395,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,50.0,0.0370451919734478,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,60.0,0.015252560377120972,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,70.0,0.006030339747667313,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,80.0,0.002616958925500512,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,90.0,0.001500330283306539,0.0004892457509413362
mnist,easy,mlp,step_0,0.0,100.0,0.0004892457509413362,0.0004892457509413362
mnist,easy,mlp,step_0,1.0,0.0,0.5003949999809265,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,10.0,0.4134100079536438,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,20.0,0.2966427505016327,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,30.0,0.18592160940170288,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,40.0,0.09701366722583771,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,50.0,0.041407495737075806,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,60.0,0.01740376092493534,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,70.0,0.007502749562263489,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,80.0,0.0033952759113162756,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,90.0,0.0015255473554134369,0.0020668008364737034
mnist,easy,mlp,step_0,1.0,100.0,0.0020668008364737034,0.0020668008364737034
mnist,easy,mlp,step_500,0.0,0.0,0.5907630920410156,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,10.0,0.42300134897232056,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,20.0,0.33797648549079895,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,30.0,0.25758475065231323,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,40.0,0.18150506913661957,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,50.0,0.11822648346424103,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,60.0,0.0695984959602356,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,70.0,0.03626251965761185,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,80.0,0.01645563542842865,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,90.0,0.006730982568114996,0.0025875698775053024
mnist,easy,mlp,step_500,0.0,100.0,0.0025875698775053024,0.0025875698775053024
mnist,easy,mlp,step_500,1.0,0.0,0.5773324370384216,0.002297014696523547
mnist,easy,mlp,step_500,1.0,10.0,0.4104887545108795,0.002297014696523547
mnist,easy,mlp,step_500,1.0,20.0,0.324722021818161,0.002297014696523547
mnist,easy,mlp,step_500,1.0,30.0,0.2402532398700714,0.002297014696523547
mnist,easy,mlp,step_500,1.0,40.0,0.16060177981853485,0.002297014696523547
mnist,easy,mlp,step_500,1.0,50.0,0.09652549028396606,0.002297014696523547
mnist,easy,mlp,step_500,1.0,60.0,0.05250882729887962,0.002297014696523547
mnist,easy,mlp,step_500,1.0,70.0,0.026266369968652725,0.002297014696523547
mnist,easy,mlp,step_500,1.0,80.0,0.012224510312080383,0.002297014696523547
mnist,easy,mlp,step_500,1.0,90.0,0.005429902113974094,0.002297014696523547
mnist,easy,mlp,step_500,1.0,100.0,0.002297014696523547,0.002297014696523547
mnist,easy,mlp,step_1000,0.0,0.0,0.6929540038108826,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,10.0,0.43418359756469727,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,20.0,0.3292903006076813,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,30.0,0.2512591481208801,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,40.0,0.18155334889888763,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,50.0,0.1208590492606163,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,60.0,0.0734807625412941,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,70.0,0.041642799973487854,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,80.0,0.022069711238145828,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,90.0,0.011108270846307278,0.005220048129558563
mnist,easy,mlp,step_1000,0.0,100.0,0.005220048129558563,0.005220048129558563
mnist,easy,mlp,step_1000,1.0,0.0,0.7094066143035889,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,10.0,0.45633774995803833,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,20.0,0.3590559959411621,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,30.0,0.285352885723114,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,40.0,0.22157292068004608,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,50.0,0.16283588111400604,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,60.0,0.11278722435235977,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,70.0,0.07239588350057602,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,80.0,0.04277675971388817,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,90.0,0.024021824821829796,0.01307662297040224
mnist,easy,mlp,step_1000,1.0,100.0,0.01307662297040224,0.01307662297040224
